N,t,save_power,average_intersection
1,1*1,0,1
2,1*2,0,1
2,2*1,0,1
3,1*3,0.333333333,0.444444444
3,3*1,0,1
4,1*4,0.25,0.5625
4,2*2,0.25,0.5625
4,4*1,0,1
5,1*5,0.4,0.36
5,5*1,0,1
6,1*6,0.333333333,0.444444444
6,2*3,0.5,0.25
6,3*2,0.333333333,0.444444444
6,6*1,0,1
7,1*7,0.428571429,0.326530612
7,7*1,0,1
8,1*8,0.375,0.390625
8,2*4,0.5,0.25
8,4*2,0.375,0.390625
8,8*1,0,1
9,1*9,0.444444444,0.308641975
9,3*3,0.555555556,0.197530864
9,9*1,0,1
10,1*10,0.4,0.36
10,2*5,0.6,0.16
10,5*2,0.4,0.36
10,10*1,0,1
11,1*11,0.454545455,0.297520661
11,11*1,0,1
12,1*12,0.416666667,0.340277778
12,2*6,0.583333333,0.173611111
12,3*4,0.583333333,0.173611111
12,4*3,0.583333333,0.173611111
12,6*2,0.416666667,0.340277778
12,12*1,0,1
13,1*13,0.461538462,0.289940828
13,13*1,0,1
14,1*14,0.428571429,0.326530612
14,2*7,0.642857143,0.12755102
14,7*2,0.428571429,0.326530612
14,14*1,0,1
15,1*15,0.466666667,0.284444444
15,3*5,0.666666667,0.111111111
15,5*3,0.6,0.16
15,15*1,0,1
16,1*16,0.4375,0.31640625
16,2*8,0.625,0.140625
16,4*4,0.625,0.140625
16,8*2,0.4375,0.31640625
16,16*1,0,1
17,1*17,0.470588235,0.280276817
17,17*1,0,1
18,1*18,0.444444444,0.308641975
18,2*9,0.666666667,0.111111111
18,3*6,0.666666667,0.111111111
18,6*3,0.611111111,0.151234568
18,9*2,0.444444444,0.308641975
18,18*1,0,1
19,1*19,0.473684211,0.27700831
19,19*1,0,1
20,1*20,0.45,0.3025
20,2*10,0.65,0.1225
20,4*5,0.7,0.09
20,5*4,0.65,0.1225
20,10*2,0.45,0.3025
20,20*1,0,1
21,1*21,0.476190476,0.274376417
21,3*7,0.714285714,0.081632653
21,7*3,0.619047619,0.145124717
21,21*1,0,1
22,1*22,0.454545455,0.297520661
22,2*11,0.681818182,0.101239669
22,11*2,0.454545455,0.297520661
22,22*1,0,1
23,1*23,0.47826087,0.27221172
23,23*1,0,1
24,1*24,0.458333333,0.293402778
24,2*12,0.666666667,0.111111111
24,3*8,0.708333333,0.085069444
24,4*6,0.708333333,0.085069444
24,6*4,0.666666667,0.111111111
24,8*3,0.625,0.140625
24,12*2,0.458333333,0.293402778
24,24*1,0,1
25,1*25,0.48,0.2704
25,5*5,0.72,0.0784
25,25*1,0,1
26,1*26,0.461538462,0.289940828
26,2*13,0.692307692,0.094674556
26,13*2,0.461538462,0.289940828
26,26*1,0,1
27,1*27,0.481481481,0.268861454
27,3*9,0.740740741,0.067215364
27,9*3,0.62962963,0.137174211
27,27*1,0,1
28,1*28,0.464285714,0.286989796
28,2*14,0.678571429,0.103316327
28,4*7,0.75,0.0625
28,7*4,0.678571429,0.103316327
28,14*2,0.464285714,0.286989796
28,28*1,0,1
29,1*29,0.482758621,0.267538644
29,29*1,0,1
30,1*30,0.466666667,0.284444444
30,2*15,0.7,0.09
30,3*10,0.733333333,0.071111111
30,5*6,0.733333333,0.071111111
30,6*5,0.733333333,0.071111111
30,10*3,0.633333333,0.134444444
30,15*2,0.466666667,0.284444444
30,30*1,0,1
31,1*31,0.483870968,0.266389178
31,31*1,0,1
32,1*32,0.46875,0.282226563
32,2*16,0.6875,0.09765625
32,4*8,0.75,0.0625
32,8*4,0.6875,0.09765625
32,16*2,0.46875,0.282226563
32,32*1,0,1
33,1*33,0.484848485,0.265381084
33,3*11,0.757575758,0.058769513
33,11*3,0.636363636,0.132231405
33,33*1,0,1
34,1*34,0.470588235,0.280276817
34,2*17,0.705882353,0.08650519
34,17*2,0.470588235,0.280276817
34,34*1,0,1
35,1*35,0.485714286,0.264489796
35,5*7,0.771428571,0.052244898
35,7*5,0.742857143,0.066122449
35,35*1,0,1
36,1*36,0.472222222,0.278549383
36,2*18,0.694444444,0.093364198
36,3*12,0.75,0.0625
36,4*9,0.777777778,0.049382716
36,6*6,0.75,0.0625
36,9*4,0.694444444,0.093364198
36,12*3,0.638888889,0.130401235
36,18*2,0.472222222,0.278549383
36,36*1,0,1
37,1*37,0.486486486,0.263696129
37,37*1,0,1
38,1*38,0.473684211,0.27700831
38,2*19,0.710526316,0.083795014
38,19*2,0.473684211,0.27700831
38,38*1,0,1
39,1*39,0.487179487,0.262984878
39,3*13,0.769230769,0.053254438
39,13*3,0.641025641,0.12886259
39,39*1,0,1
40,1*40,0.475,0.275625
40,2*20,0.7,0.09
40,4*10,0.775,0.050625
40,5*8,0.775,0.050625
40,8*5,0.75,0.0625
40,10*4,0.7,0.09
40,20*2,0.475,0.275625
40,40*1,0,1
41,1*41,0.487804878,0.262343843
41,41*1,0,1
42,1*42,0.476190476,0.274376417
42,2*21,0.714285714,0.081632653
42,3*14,0.761904762,0.056689342
42,6*7,0.785714286,0.045918367
42,7*6,0.761904762,0.056689342
42,14*3,0.642857143,0.12755102
42,21*2,0.476190476,0.274376417
42,42*1,0,1
43,1*43,0.488372093,0.261763115
43,43*1,0,1
44,1*44,0.477272727,0.273243802
44,2*22,0.704545455,0.087293388
44,4*11,0.795454545,0.041838843
44,11*4,0.704545455,0.087293388
44,22*2,0.477272727,0.273243802
44,44*1,0,1
45,1*45,0.488888889,0.261234568
45,3*15,0.777777778,0.049382716
45,5*9,0.8,0.04
45,9*5,0.755555556,0.059753086
45,15*3,0.644444444,0.126419753
45,45*1,0,1
46,1*46,0.47826087,0.27221172
46,2*23,0.717391304,0.079867675
46,23*2,0.47826087,0.27221172
46,46*1,0,1
47,1*47,0.489361702,0.260751471
47,47*1,0,1
48,1*48,0.479166667,0.271267361
48,2*24,0.708333333,0.085069444
48,3*16,0.770833333,0.052517361
48,4*12,0.791666667,0.043402778
48,6*8,0.791666667,0.043402778
48,8*6,0.770833333,0.052517361
48,12*4,0.708333333,0.085069444
